  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.48    19.42    10.06 [     0   13   56 ]
  2000    30.79    20.48    10.31 [     0    1   83 ]
  3000    30.79    20.48    10.31 [     0    1   83 ]
  4000    30.79    20.48    10.31 [     0    1   83 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.67    19.04    10.63 [     0   65   84 ]
  2000    30.54    20.53    10.01 [     0    1   84 ]
  3000    30.54    20.53    10.01 [     0    1   84 ]
  4000    30.54    20.53    10.01 [     0    1   84 ]
  5000    30.79    20.48    10.31 [     0    1   83 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.41    18.97    10.44 [     0   69   84 ]
  2000    29.67    19.04    10.63 [     0   65   84 ]
  3000    29.97    19.34    10.64 [     0   56   65 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.66    18.91    10.74 [     0   69   83 ]
  2000    30.85    20.83    10.02 [     0    1   56 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.91    18.99    10.92 [     0   65   83 ]
  2000    29.91    18.99    10.92 [     0   65   83 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.62    18.77    10.85 [     0   83   87 ]
  2000    30.85    20.83    10.02 [     0    1   56 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.42    18.88    10.54 [     0   19   56 ]
  2000    29.66    18.91    10.74 [     0   69   83 ]
  3000    29.66    18.91    10.74 [     0   69   83 ]
  4000    30.73    19.41    11.32 [     0    1   32 ]
  5000    30.73    19.41    11.32 [     0    1   32 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.32    18.58    10.74 [     0   79   83 ]
  2000    30.26    19.08    11.18 [     0    1   34 ]
  3000    30.26    19.08    11.18 [     0    1   34 ]
  4000    30.73    19.41    11.32 [     0    1   32 ]
  5000    30.73    19.41    11.32 [     0    1   32 ]
  6000    30.79    20.48    10.31 [     0    1   83 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    30.73    19.41    11.32 [     0    1   32 ]
  2000    30.85    20.83    10.02 [     0    1   56 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.48    19.42    10.06 [     0   13   56 ]
  2000    30.85    20.83    10.02 [     0    1   56 ]
  3000    30.85    20.83    10.02 [     0    1   56 ]
  4000    30.85    20.83    10.02 [     0    1   56 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    30.73    19.41    11.32 [     0    1   32 ]
  2000    30.73    19.41    11.32 [     0    1   32 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.73    19.41    11.32 [     0    1   32 ]
  5000    30.73    19.41    11.32 [     0    1   32 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    29.29    17.45    11.84 [     0   19   32 ]
  2000    30.73    19.41    11.32 [     0    1   32 ]
  3000    30.73    19.41    11.32 [     0    1   32 ]
  4000    30.79    20.48    10.31 [     0    1   83 ]
  5000    30.85    20.83    10.02 [     0    1   56 ]
  6000    30.85    20.83    10.02 [     0    1   56 ]
  7000    30.85    20.83    10.02 [     0    1   56 ]
  8000    30.85    20.83    10.02 [     0    1   56 ]
  9000    30.85    20.83    10.02 [     0    1   56 ]
 10000    30.85    20.83    10.02 [     0    1   56 ]
  1000    28.53    18.23    10.30 [     0   48   69 ]
  2000    30.79    20.48    10.31 [     0    1   83 ]
